@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2018/02/20 20:09:09:349',1,18.088236,-26.155699,18.088236,0.08,?,?
2,'2018/02/20 20:09:09:381',1,18.087774,-26.15695,-0.000462,0.08,?,?
3,'2018/02/20 20:09:09:411',1,18.087704,-26.157137,-0.000071,0.08,?,?
4,'2018/02/20 20:09:09:434',1,18.08765,-26.157272,-0.000053,0.08,?,?
5,'2018/02/20 20:09:09:463',1,18.087164,-26.157108,-0.000486,0.08,?,?
6,'2018/02/20 20:09:09:495',1,18.086201,-26.156204,-0.000963,0.08,?,?
7,'2018/02/20 20:09:09:529',1,18.08346,-26.151154,-0.002741,0.08,?,?
8,'2018/02/20 20:09:09:562',1,18.079559,-26.146353,-0.003901,0.08,?,?
9,'2018/02/20 20:09:09:607',1,18.070301,-26.138342,-0.009258,0.08,?,?
10,'2018/02/20 20:09:09:646',1,18.053263,-26.123232,-0.017038,0.08,?,?
11,'2018/02/20 20:09:09:677',1,17.998133,-26.106766,-0.05513,0.08,?,?
12,'2018/02/20 20:09:09:699',1,17.892628,-26.080551,-0.105505,0.08,?,?
13,'2018/02/20 20:09:09:730',1,17.755632,-26.051464,-0.136995,0.08,?,?
14,'2018/02/20 20:09:09:763',1,17.590216,-26.017908,-0.165417,0.08,?,?
15,'2018/02/20 20:09:09:801',1,17.304499,-26.00688,-0.285717,0.08,?,?
16,'2018/02/20 20:09:09:830',1,16.992121,-25.98913,-0.312378,0.08,?,?
17,'2018/02/20 20:09:09:862',1,16.662586,-25.946999,-0.329535,0.08,?,?
18,'2018/02/20 20:09:09:896',1,16.082047,-25.910738,-0.58054,0.08,?,?
19,'2018/02/20 20:09:09:928',1,15.178601,-25.462967,-0.903445,0.08,?,?
20,'2018/02/20 20:09:09:961',1,11.440235,-23.599009,-3.738366,0.08,?,?
